Language	Lambda	Quantile	Samples
Basque	0.12	0.222222223878	54
Basque	0.14	0.222222223878	54
Basque	0.16	0.222222223878	54
Basque	0.18	0.24074074626	54
Basque	0.2	0.277777791023	54
Basque	0.22	0.277777791023	54
Basque	0.24	0.314814805984	54
Basque	0.26	0.314814805984	54
Basque	0.28	0.314814805984	54
Basque	0.3	0.314814805984	54
Basque	0.32	0.314814805984	54
Basque	0.34	0.314814805984	54
Basque	0.36	0.314814805984	54
Basque	0.38	0.314814805984	54
Basque	0.4	0.333333343267	54
Basque	0.42	0.333333343267	54
Basque	0.44	0.351851850748	54
Basque	0.46	0.388888895512	54
Basque	0.48	0.388888895512	54
Basque	0.5	0.388888895512	54
Basque	0.52	0.425925940275	54
Basque	0.54	0.425925940275	54
Basque	0.56	0.444444447756	54
Basque	0.58	0.462962955236	54
Basque	0.6	0.5	54
Basque	0.62	0.5	54
Basque	0.64	0.537037014961	54
Basque	0.66	0.537037014961	54
Basque	0.68	0.555555582047	54
Basque	0.7	0.592592597008	54
Basque	0.72	0.592592597008	54
Basque	0.74	0.592592597008	54
Basque	0.76	0.592592597008	54
Basque	0.78	0.592592597008	54
Basque	0.8	0.592592597008	54
Basque	0.82	0.611111104488	54
Basque	0.84	0.611111104488	54
Basque	0.86	0.611111104488	54
Basque	0.88	0.611111104488	54
Basque	0.9	0.611111104488	54
Basque	0.92	0.629629611969	54
Basque	0.94	0.629629611969	54
Basque	0.96	0.64814811945	54
Basque	0.98	0.666666686535	54
Belarusian	0.0	0.345454543829	55
Belarusian	0.02	0.363636374474	55
Belarusian	0.04	0.363636374474	55
Belarusian	0.06	0.418181806803	55
Belarusian	0.08	0.418181806803	55
Belarusian	0.1	0.436363637447	55
Belarusian	0.12	0.472727268934	55
Belarusian	0.14	0.454545468092	55
Belarusian	0.16	0.454545468092	55
Belarusian	0.18	0.472727268934	55
Belarusian	0.2	0.472727268934	55
Belarusian	0.22	0.490909099579	55
Belarusian	0.24	0.490909099579	55
Belarusian	0.26	0.490909099579	55
Belarusian	0.28	0.490909099579	55
Belarusian	0.3	0.509090900421	55
Belarusian	0.32	0.509090900421	55
