Language	Model	Type	UAS	Pars	LAS	ParsU
Galician	8753749998	manual_output_funchead_two_coarse_lambda09_best_large	0.853161637517	0.9794721886974259	0.785398533813	0.5831948579665297
Chinese	4863208342	manual_output_funchead_two_coarse_lambda09_best_large	0.830303030303	0.8971658432779234	0.756014692378	0.5581242898497919
German	7233494255	manual_output_funchead_two_coarse_lambda09_best_large	0.895404120444	0.5446330418321796	0.866505080638	0.3539877972154323
Hindi	612057196	manual_output_funchead_two_coarse_lambda09_best_large	0.934963310294	0.3431826831471037	0.910148281217	0.24507103217767673
Bulgarian	1170573905	manual_output_funchead_two_coarse_lambda09_best_large	0.894367724676	0.5018584300049403	0.860964500036	0.3618032568780859
Korean	8621284411	manual_output_funchead_two_coarse_lambda09_best_large	0.796695927822	1.169976602056148	0.665051207023	0.628192672788937
Latvian	2453933183	manual_output_funchead_two_coarse_lambda09_best_large	0.776039255624	1.2785703953013752	0.707249328766	0.8382475976921454
Hungarian	9615205925	manual_output_funchead_two_coarse_lambda09_best_large	0.736393705523	1.2823620698991347	0.685677057232	0.9416250731862116
Lithuanian	5160005496	manual_output_funchead_two_coarse_lambda09_best_large	0.511891279728	2.720006035516378	0.402038505096	1.6719402948295274
Urdu	1945516561	manual_output_funchead_two_coarse_lambda09_best_large	0.87611703661	0.6880454852399581	0.836264053041	0.4865502449991243
Gothic	6737090998	manual_output_funchead_two_coarse_lambda09_best_large	0.809373146134	0.9744124400750059	0.749752817876	0.6529020528937602
Chinese	2045095097	manual_output_funchead_two_coarse_lambda09_best_large	0.843526170799	0.8837210521662968	0.76914600551	0.5372306450886722
Japanese	1461148279	manual_output_funchead_two_coarse_lambda09_best_large	0.93272465161	0.313850055778903	0.912349831812	0.2261823897176153
Italian	9363890371	manual_output_funchead_two_coarse_lambda09_best_large	0.893837803321	0.5274359801298077	0.865634312473	0.36436643724069284
Croatian	8107510327	manual_output_funchead_two_coarse_lambda09_best_large	0.850785542915	0.7560750895651416	0.817738565127	0.5493146303997035
Persian	1681609021	manual_output_funchead_two_coarse_lambda09_best_large	0.8976644555	0.594015750751896	0.854823106689	0.4023144109398044
Danish	3243028224	manual_output_funchead_two_coarse_lambda09_best_large	0.846866971965	0.7381796063117764	0.816709482855	0.5499760628039512
French	6912153951	manual_output_funchead_two_coarse_lambda09_best_large	0.916837993421	0.41966737247161	0.892475328947	0.2921169069318
Arabic	9788252482	manual_output_funchead_two_coarse_lambda09_best_large	0.857376750955	0.6891252987412784	0.81854273454	0.4965382336621098
Turkish	1035393965	manual_output_funchead_two_coarse_lambda09_best_large	0.609386458079	1.895371067789125	0.519432901491	1.2985503273178096
Coptic	6041088033	manual_output_funchead_two_coarse_lambda09_best_large	0.841561423651	0.908723493668023	0.799081515499	0.640238188438109
Persian	5136961867	manual_output_funchead_two_coarse_lambda09_best_large	0.897940851299	0.5690366108487362	0.862147595357	0.40680015345776915
English	6448967977	manual_output_funchead_two_coarse_lambda09_best_large	0.894881909675	0.599907580481816	0.853183634249	0.3748508820282257
Greek	2209324319	manual_output_funchead_two_coarse_lambda09_best_large	0.863568694173	0.6958944882194522	0.833475116972	0.5227937370804917
Norwegian	4098986604	manual_output_funchead_two_coarse_lambda09_best_large	0.910759483596	0.5249223143716742	0.881293876057	0.3110824375457523
Marathi	5456841289	manual_output_funchead_two_coarse_parser_best_balanced	0.687134502924	2.14797238020869	0.540935672515	1.247700133518866
Irish	5715619308	manual_output_funchead_two_coarse_parser_best_balanced	0.522877185635	2.825635285967121	0.431577845252	1.9380089265865101
German	1374342029	manual_output_funchead_two_coarse_parser_best_balanced	0.904446723222	0.5016686921296609	0.87610701967	0.33042516286746315
Coptic	136183421	manual_output_funchead_two_coarse_parser_best_balanced	0.8794489093	0.7085209659265459	0.850746268657	0.49855644858937315
Old_Church_Slavonic	7043806087	manual_output_funchead_two_coarse_parser_best_balanced	0.827326732673	0.8895417597211234	0.780891089109	0.6308090123681739
Ukrainian	2037596885	manual_output_funchead_two_coarse_parser_best_balanced	0.827647900763	0.9574030606886585	0.784231870229	0.6733621710499051
Estonian	1396102380	manual_output_funchead_two_coarse_parser_best_balanced	0.825812378	0.8406192953735231	0.776897462395	0.5667703138665007
Japanese	6152468146	manual_output_funchead_two_coarse_parser_best_balanced	0.928592023066	0.3341189289654407	0.906391158097	0.23781381381755262
Italian	936402650	manual_output_funchead_two_coarse_parser_best_balanced	0.907620263942	0.5101179562543949	0.878405704555	0.34058696549685524
Hindi	9749585504	manual_output_funchead_two_coarse_parser_best_balanced	0.933745394757	0.31305916955385976	0.918947720976	0.23799006776309178
Serbian	8298185581	manual_output_funchead_two_coarse_parser_best_balanced	0.832861189802	0.8184781223653734	0.79388101983	0.584486150525447
Turkish	7002253353	manual_output_funchead_two_coarse_parser_best_balanced	0.732583720362	1.6440894779439836	0.567342947934	0.8618930494018943
Romanian	2009868706	manual_output_funchead_two_coarse_parser_best_balanced	0.86176727909	0.7713620835257472	0.815061578841	0.5131002306833876
Latin	7604711832	manual_output_funchead_two_coarse_parser_best_balanced	0.844360322937	0.9684161016986677	0.770727948812	0.5449096674052704
Vietnamese	446385011	manual_output_funchead_two_coarse_parser_best_balanced	0.733042684782	1.3246686114121993	0.670485653452	0.860750495571642
Bulgarian	4754721	manual_output_funchead_two_coarse_parser_best_balanced	0.91012941942	0.44119199169456946	0.879256742101	0.30900747774221504
Basque	9663209710	manual_output_funchead_two_coarse_parser_best_balanced	0.816436020858	0.9330580336020454	0.757270357	0.6070492886727085
Persian	3552621256	manual_output_funchead_two_coarse_parser_best_balanced	0.891791044776	0.5804390143860501	0.858347153123	0.41551762605122006
Korean	4262227409	manual_output_funchead_two_coarse_parser_best_balanced	0.78755181663	1.1685992243798062	0.668647890758	0.6705772139057535
Chinese	4334711614	manual_output_funchead_two_coarse_parser_best_balanced	0.855188246097	0.8696439724432645	0.776124885216	0.5077581641212092
Slovenian	2436250560	manual_output_funchead_two_coarse_parser_best_balanced	0.848466737162	0.8229544414503208	0.815594685302	0.5513598786310834
Hungarian	4696208851	manual_output_funchead_two_coarse_parser_best_balanced	0.735391400221	1.2846675002050385	0.686278440413	0.9331479551463085
Indonesian	241325047	manual_output_funchead_two_coarse_parser_best_balanced	0.821418506341	0.9835169868773841	0.775951150775	0.6589974607868114
Urdu	3562307529	manual_output_funchead_two_coarse_parser_best_balanced	0.885629864514	0.626859906393982	0.848731622946	0.4326474559722905
Arabic	5735612693	manual_output_funchead_two_coarse_parser_best_balanced	0.86987554709	0.6588880303905862	0.829628995495	0.4651068574704933
Catalan	9709466151	manual_output_funchead_two_coarse_parser_best_balanced	0.905153465735	0.44034941568391667	0.880543998744	0.33084712798669685
Galician	5269691	manual_output_funchead_two_coarse_parser_best_balanced	0.833063342577	1.0167147085041561	0.771670190275	0.6362331205732639
English	9187031691	manual_output_funchead_two_coarse_parser_best_balanced	0.8845648106	0.6237135882558763	0.844737773732	0.4059414790007562
Norwegian	839137900	manual_output_funchead_two_coarse_parser_best_balanced	0.914818765023	0.48937476809489283	0.890208376447	0.2906401860152535
Tamil	1107378819	manual_output_funchead_two_coarse_parser_best_balanced	0.622540250447	1.9760036903545126	0.562611806798	1.3176951587520047
Finnish	8612658986	manual_output_funchead_two_coarse_parser_best_balanced	0.817780364234	0.8004110321682086	0.772730384773	0.5676488325057961
Swedish	691847957	manual_output_funchead_two_coarse_parser_best_balanced	0.858330153076	0.7527223423237727	0.821735996268	0.5251493696335825
Portuguese	8382174320	manual_output_funchead_two_coarse_parser_best_balanced	0.905908154805	0.43115081567415986	0.883307924791	0.3183643475209577
Telugu	5199296536	manual_output_funchead_two_coarse_parser_best_balanced	0.815028901734	1.2149952252705891	0.728323699422	0.6627434559869858
Russian	9125867	manual_output_funchead_two_coarse_parser_best_balanced	0.871205221615	0.6605725599883738	0.829045233758	0.4331993082894208
Croatian	9809338784	manual_output_funchead_two_coarse_parser_best_balanced	0.858215308413	0.7274836150220226	0.823697856203	0.5243749277352383
Belarusian	3293490198	manual_output_funchead_two_coarse_parser_best_balanced	0.572213500785	2.263606370898955	0.515698587127	1.616022993294373
Afrikaans	5112822742	manual_output_funchead_two_coarse_parser_best_balanced	0.85877703827	0.7803863114406185	0.825499168053	0.5911547400292858
French	6711492589	manual_output_funchead_two_coarse_parser_best_balanced	0.919292249178	0.4068466665440658	0.895983244243	0.2787190526227948
Dutch	7588115277	manual_output_funchead_two_coarse_parser_best_balanced	0.8964958159	0.5574645318184438	0.857322175732	0.3489795591853653
Lithuanian	4799235779	manual_output_funchead_two_coarse_parser_best_balanced	0.493771234428	2.9725302375456484	0.408833522084	2.046652090778977
Slovak	2713340704	manual_output_funchead_two_coarse_parser_best_balanced	0.844903710662	0.7536622536747933	0.816157820573	0.5404705169280407
Polish	1460649719	manual_output_funchead_two_coarse_parser_best_balanced	0.897033158813	0.47683156004057436	0.869458987784	0.3379051622261205
Ancient_Greek	1196562	manual_output_funchead_two_coarse_parser_best_balanced	0.86587953968	0.745201541454228	0.804065162158	0.45277192181597337
Danish	2172427738	manual_output_funchead_two_coarse_parser_best_balanced	0.843627834246	0.7030289265798694	0.816151010834	0.537953228693787
Greek	5980328342	manual_output_funchead_two_coarse_parser_best_balanced	0.871756699277	0.6666518240368452	0.841875797533	0.4954582292797311
Latvian	112566049	manual_output_funchead_two_coarse_parser_best_balanced	0.772058142765	1.2890269223125697	0.694935654106	0.8436515081062349
Hebrew	3053545950	manual_output_funchead_two_coarse_parser_best_balanced	0.870798215171	0.7248779033278852	0.826871591472	0.49035908117942073
Gothic	9351871	manual_output_funchead_two_coarse_parser_best_balanced	0.852679454222	0.8842970778024171	0.791674906071	0.5529902569738943
Spanish	4303719988	manual_output_funchead_two_coarse_parser_best_balanced	0.909258604134	0.4517529323419298	0.883572547632	0.31756978335891956
Marathi	4315863726	manual_output_funchead_langmod_coarse_best_balanced	0.599415204678	2.3978233058550202	0.491228070175	1.4372343522066262
Latin	5893160314	manual_output_funchead_langmod_coarse_best_balanced	0.834444407223	1.008633642323488	0.750159123647	0.5822626618155962
Galician	5829637116	manual_output_funchead_langmod_coarse_best_balanced	0.771395623404	1.2302264705664872	0.721149886055	0.8405408038917842
Norwegian	8465037986	manual_output_funchead_langmod_coarse_best_balanced	0.881707763575	0.5998594122331782	0.855903468696	0.40051841272353456
English	9521003471	manual_output_funchead_langmod_coarse_best_balanced	0.833383907348	0.7757764685009192	0.809968138371	0.5908367659131508
Hindi	5208902332	manual_output_funchead_langmod_coarse_best_balanced	0.918430106872	0.3800654030000815	0.900892123131	0.2998069572540561
German	2678929526	manual_output_funchead_langmod_coarse_best_balanced	0.861843945185	0.6390346792545036	0.832758459961	0.4572444646297591
Romanian	2185023806	manual_output_funchead_langmod_coarse_best_balanced	0.806178073895	0.9428347391687176	0.764923615317	0.682896241552697
Dutch	3295010960	manual_output_funchead_langmod_coarse_best_balanced	0.877039748954	0.5901860851280111	0.85120292887	0.4330914329160706
Greek	7558825885	manual_output_funchead_langmod_coarse_best_balanced	0.823585708209	0.8328505598550551	0.793917481923	0.6357348806702903
Hungarian	6523716726	manual_output_funchead_langmod_coarse_best_balanced	0.684474290869	1.4937520096461425	0.623534128496	1.1104847552530916
Latvian	9859590518	manual_output_funchead_langmod_coarse_best_balanced	0.682066475326	1.47749412910727	0.624756966948	1.0795699865572344
Bulgarian	1034053658	manual_output_funchead_langmod_coarse_best_balanced	0.861326006796	0.6120640883243366	0.822355578049	0.46367412043207334
Slovenian	9638263698	manual_output_funchead_langmod_coarse_best_balanced	0.854489448761	0.8067579799167348	0.799641395798	0.5054681666606783
Swedish	2486520636	manual_output_funchead_langmod_coarse_best_balanced	0.813976169274	0.8895062299214089	0.773141669847	0.6427830740558592
Old_Church_Slavonic	9724758322	manual_output_funchead_langmod_coarse_best_balanced	0.829108910891	0.9294481615028759	0.769801980198	0.6144525188266641
French	8083539524	manual_output_funchead_langmod_coarse_best_balanced	0.905543277138	0.4628540251664833	0.87935598273	0.3261054085430116
Ukrainian	8881679248	manual_output_funchead_langmod_coarse_best_balanced	0.773854961832	1.0936902382105362	0.725548664122	0.7886164143880587
Catalan	8978861646	manual_output_funchead_langmod_coarse_best_balanced	0.878404898344	0.532064003456831	0.857072768663	0.4260944201717647
Spanish	4047513575	manual_output_funchead_langmod_coarse_best_balanced	0.893541213928	0.5126933769385108	0.866313741345	0.37049540066521597
Urdu	2105939435	manual_output_funchead_langmod_coarse_best_balanced	0.848659556068	0.7564373516098296	0.809383107524	0.5561877654639332
Japanese	189216316	manual_output_funchead_langmod_coarse_best_balanced	0.865641518501	0.508409561015619	0.852763094666	0.43702795122862437
Tamil	3234472513	manual_output_funchead_langmod_coarse_best_balanced	0.652951699463	2.261299361056633	0.56976744186	1.5974077504521407
Vietnamese	8617334717	manual_output_funchead_langmod_coarse_best_balanced	0.6020480584	1.8027866604385445	0.5293521241	1.2766040868767858
Finnish	944103956	manual_output_funchead_langmod_coarse_best_balanced	0.812508558127	0.9228573353757323	0.73599890456	0.6002374728645516
Polish	4349938573	manual_output_funchead_langmod_coarse_best_balanced	0.873414776033	0.5527395658676121	0.851657940663	0.4333311792859648
Arabic	4398950641	manual_output_funchead_langmod_coarse_best_balanced	0.80668599985	0.8902964044425412	0.771415424456	0.6923060845462689
Belarusian	6681396101	manual_output_funchead_langmod_coarse_best_balanced	0.584772370487	2.2296069270961887	0.507849293564	1.531566332797615
Telugu	8250608376	manual_output_funchead_langmod_coarse_best_balanced	0.842003853565	1.03103837204347	0.749518304432	0.5654036812699599
Basque	2775660060	manual_output_funchead_langmod_coarse_best_balanced	0.791666666667	1.0941556698698334	0.707230244685	0.6980177773692452
Turkish	8884411876	manual_output_funchead_langmod_coarse_best_balanced	0.587509166463	1.9930944136202524	0.471522855048	1.330757720186028
Italian	2594725024	manual_output_funchead_langmod_coarse_best_balanced	0.861217539378	0.6500631900985554	0.838707960834	0.4980063390394331
Danish	2862952304	manual_output_funchead_langmod_coarse_best_balanced	0.808220708143	0.849355932255637	0.783089467218	0.6697813785104103
Hebrew	2403537206	manual_output_funchead_langmod_coarse_best_balanced	0.832226078334	0.8480220704724071	0.791670798215	0.6167123867842486
Chinese	9211633685	manual_output_funchead_langmod_coarse_best_balanced	0.755371900826	1.1740628368817303	0.692653810836	0.8601231813430786
Afrikaans	852052707	manual_output_funchead_langmod_coarse_best_balanced	0.812188019967	0.9693495200299185	0.776206322795	0.7506731043441125
Persian	5256241782	manual_output_funchead_langmod_coarse_best_balanced	0.849433388612	0.7236368872385911	0.820895522388	0.581186178707167
Lithuanian	4794511304	manual_output_funchead_langmod_coarse_best_balanced	0.339750849377	3.4379501904393646	0.248018120045	2.2117209407508307
Croatian	9170449058	manual_output_funchead_langmod_coarse_best_balanced	0.779506230168	0.9999612193849007	0.730593607306	0.7464062816430038
Estonian	208121164	manual_output_funchead_langmod_coarse_best_balanced	0.772878631301	1.0996897264823997	0.697783901711	0.75218000349296
Indonesian	4664742886	manual_output_funchead_langmod_coarse_best_balanced	0.748144668859	1.2288024050576858	0.711695631752	0.9328400081062944
Serbian	7403297293	manual_output_funchead_langmod_coarse_best_balanced	0.810424929178	0.9284389043327094	0.765779036827	0.6701366209781203
Coptic	8542725903	manual_output_funchead_langmod_coarse_best_balanced	0.830080367394	0.9183195050630449	0.788748564868	0.6125924617360025
Korean	9614101303	manual_output_funchead_langmod_coarse_best_balanced	0.717965130456	1.331559700395851	0.607443306511	0.8432154569178056
Gothic	7907315126	manual_output_funchead_langmod_coarse_best_balanced	0.783567332411	1.051042850106654	0.723254894206	0.7409694467299018
Ancient_Greek	1878067553	manual_output_funchead_langmod_coarse_best_balanced	0.789926767299	1.0278668393167283	0.717680466298	0.6937791662782035
Irish	1580489262	manual_output_funchead_langmod_coarse_best_balanced	0.518375039263	2.8913038561024873	0.418594911528	1.984984107397449
Slovak	693888951	manual_output_funchead_langmod_coarse_best_balanced	0.804227336778	0.847046597164077	0.781587599812	0.6699367524033256
Portuguese	8015625621	manual_output_funchead_langmod_coarse_best_balanced	0.903046350531	0.45822463627666427	0.878065741261	0.3363484016292144
Russian	4052951187	manual_output_funchead_langmod_coarse_best_balanced	0.863160291439	0.6860497231345282	0.816873482089	0.4405947280151438
Serbian	6540054	manual_output_funchead_RANDOM	0.791954674221	1.0471085295528595	0.743569405099	0.7815894927113995
Portuguese	6231403	manual_output_funchead_RANDOM	0.881569445559	0.5376128480609554	0.855839952927	0.41556008743821815
Norwegian	1583012	manual_output_funchead_RANDOM	0.87038953183	0.6290195589188406	0.855155287413	0.4480794522146374
Indonesian	1550386	manual_output_funchead_RANDOM	0.700046970409	1.367214234651339	0.663222170033	1.0529653166873514
Ancient_Greek	6207048	manual_output_funchead_RANDOM	0.771274846809	1.0314749388359103	0.716933193842	0.7540137134580366
Ancient_Greek	6909776	manual_output_funchead_RANDOM	0.78622029592	1.0101816259670857	0.725332536243	0.7059097901859673
Latin	1101535	manual_output_funchead_RANDOM	0.803122173462	1.1053243757416418	0.73052829051	0.7047791305215214
Hebrew	9010571	manual_output_funchead_RANDOM	0.843926623699	0.7779997992527384	0.807833415964	0.5517792426304587
Basque	1798476	manual_output_funchead_RANDOM	0.780385078219	1.046137818510017	0.726684717208	0.7473503181369392
Gothic	4165603	manual_output_funchead_RANDOM	0.784160569508	1.0469485748797178	0.734130907653	0.7477144808054489
Catalan	650252	manual_output_funchead_RANDOM	0.864608682	0.5608222926570235	0.84928173326	0.46831642379378197
Italian	8560492	manual_output_funchead_RANDOM	0.846956151554	0.7131246482345235	0.816091954023	0.5370339432809773
Latvian	6872334	manual_output_funchead_RANDOM	0.662346079067	1.5875154277945258	0.597074344968	1.1348743338505876
