Language	Model	Type	Surp
Dutch	2188996	manual_output_funchead_RANDOM2	7.2304325117830945
Latin	8239276	manual_output_funchead_RANDOM2	7.844556020076348
Tamil	7340130	manual_output_funchead_RANDOM2	9.209064191910363
Greek	9424475	manual_output_funchead_RANDOM2	7.46128472581306
Greek	4504500	manual_output_funchead_RANDOM2	7.530003266108445
Coptic	6544166	manual_output_funchead_RANDOM2	5.500463642076005
Czech	9862845	manual_output_funchead_RANDOM2	7.139520520984937
Bulgarian	6921380	manual_output_funchead_RANDOM2	7.84069134935552
Marathi	9552091	manual_output_funchead_RANDOM2	7.255449264379176
Telugu	8600359	manual_output_funchead_RANDOM2	8.07068651188273
Norwegian	6869766	manual_output_funchead_RANDOM2	7.121422143644123
German	7882210	manual_output_funchead_RANDOM2	7.575806603861913
Irish	3404348	manual_output_funchead_RANDOM2	8.025544607364127
Latvian	1362076	manual_output_funchead_RANDOM2	8.94128099939175
Italian	5936490	manual_output_funchead_RANDOM2	6.793618362779158
Hebrew	9894899	manual_output_funchead_RANDOM2	6.903506498740237
Lithuanian	6885701	manual_output_funchead_RANDOM2	9.250125683984313
Gothic	6911921	manual_output_funchead_RANDOM2	7.0304984641252615
Romanian	6793944	manual_output_funchead_RANDOM3	7.683214582654135
Gothic	1769809	manual_output_funchead_RANDOM3	7.221095288792752
Chinese	1818035	manual_output_funchead_RANDOM3	8.037203635153583
Galician	9553793	manual_output_funchead_RANDOM3	6.511157850303889
Persian	737662	manual_output_funchead_RANDOM3	7.203420310212574
Portuguese	1464697	manual_output_funchead_RANDOM3	6.441685907819494
Marathi	4090054	manual_output_funchead_RANDOM3	7.288630086245421
Bulgarian	7879863	manual_output_funchead_RANDOM3	7.921687229992975
Latvian	885572	manual_output_funchead_RANDOM3	8.95294842451511
Serbian	3502632	manual_output_funchead_RANDOM3	7.98125063448223
Marathi	7906796	manual_output_funchead_RANDOM3	7.421124737672131
German	6327163	manual_output_funchead_RANDOM3	7.5286104723795715
German	5142401	manual_output_funchead_RANDOM3	7.487874521168264
Urdu	3300174	manual_output_funchead_RANDOM3	6.40825008508666
Tamil	7714464	manual_output_funchead_RANDOM3	9.2358477955854
Indonesian	4557281	manual_output_funchead_RANDOM3	7.992839827621128
Ukrainian	2365987	manual_output_funchead_RANDOM3	9.290160809845677
Bulgarian	6635534	manual_output_funchead_RANDOM3	7.900603634575002
Romanian	7319389	manual_output_funchead_RANDOM3	7.6388597943943335
Norwegian	4693964	manual_output_funchead_RANDOM3	7.081736969543471
French	3685139	manual_output_funchead_RANDOM3	6.162918077074473
Gothic	446410	manual_output_funchead_RANDOM3	7.248818454795445
Persian	9296476	manual_output_funchead_RANDOM3	7.214355535763132
Bulgarian	4091652	manual_output_funchead_RANDOM3	7.885774637029213
Vietnamese	9936996	manual_output_funchead_RANDOM3	7.831272429244145
Slovak	9028940	manual_output_funchead_RANDOM3	9.475777477767894
Coptic	2819633	manual_output_funchead_RANDOM3	5.548472449022853
Ukrainian	3817891	manual_output_funchead_RANDOM3	9.297569404050527
German	2076789	manual_output_funchead_RANDOM3	7.477292863557923
Ukrainian	4738490	manual_output_funchead_RANDOM3	9.251002211072722
Ancient_Greek	7921475	manual_output_funchead_RANDOM3	7.576409585629625
Catalan	4633647	manual_output_funchead_RANDOM3	6.284059783294451
Ukrainian	5756580	manual_output_funchead_RANDOM3	9.28967915103153
Catalan	9638778	manual_output_funchead_RANDOM3	6.2563448998915145
Norwegian	689126	manual_output_funchead_RANDOM3	7.0921133029861165
Russian	5897693	manual_output_funchead_RANDOM3	7.521991717512635
Chinese	7467452	manual_output_funchead_RANDOM3	8.035929255840207
Ancient_Greek	1063796	manual_output_funchead_RANDOM3	7.607910402053859
Norwegian	7110881	manual_output_funchead_RANDOM3	7.11017153630045
Swedish	2777940	manual_output_funchead_RANDOM3	7.366708582696982
Marathi	6191798	manual_output_funchead_RANDOM3	7.339831994130061
Old_Church_Slavonic	552459	manual_output_funchead_RANDOM3	7.091319550690042
Russian	3938742	manual_output_funchead_RANDOM3	7.475529970962065
Irish	8511215	manual_output_funchead_RANDOM3	8.068868984731282
Arabic	4342592	manual_output_funchead_RANDOM3	7.153131641961479
Italian	5814343	manual_output_funchead_RANDOM3	6.6752130069241415
Hungarian	7528183	manual_output_funchead_RANDOM3	8.70080982924154
Norwegian	3773153	manual_output_funchead_RANDOM3	7.165062745206815
Croatian	5687188	manual_output_funchead_RANDOM3	8.195022629654524
Slovak	2766592	manual_output_funchead_RANDOM3	9.498524412206217
Polish	3904545	manual_output_funchead_RANDOM3	8.801184103419251
Irish	8066681	manual_output_funchead_RANDOM3	8.095618265975881
Danish	3953330	manual_output_funchead_RANDOM3	7.493897336545441
Italian	122578	manual_output_funchead_RANDOM3	6.706435569502943
Old_Church_Slavonic	7857420	manual_output_funchead_RANDOM3	7.139152413097101
Lithuanian	2090724	manual_output_funchead_RANDOM3	9.516542738540425
Tamil	7867059	manual_output_funchead_RANDOM3	9.223834291980177
Swedish	7110967	manual_output_funchead_RANDOM3	7.3423859455470595
Coptic	9321052	manual_output_funchead_RANDOM3	5.454662916123381
Marathi	1330259	manual_output_funchead_RANDOM3	7.31991370100724
Tamil	3916182	manual_output_funchead_RANDOM3	9.222865207037474
Estonian	509965	manual_output_funchead_RANDOM3	8.695905193252068
Hebrew	4868609	manual_output_funchead_RANDOM3	6.926104698790894
Galician	1269817	manual_output_funchead_RANDOM3	12.828437989804364
Russian	1464491	manual_output_funchead_RANDOM3	7.483973033015687
Hebrew	8980020	manual_output_funchead_RANDOM3	6.925497740960815
Latin	3518579	manual_output_funchead_RANDOM3	7.847321219728013
Slovenian	4562802	manual_output_funchead_RANDOM3	7.885803075437538
Catalan	5104264	manual_output_funchead_RANDOM3	6.287960700744735
Greek	4274852	manual_output_funchead_RANDOM3	7.590544271080112
