Language	Model	Type	Surp
Belarusian	926360780	manual_output_funchead_two_coarse_lambda09_best_large	9.126727324017024
Belarusian	5477271494	manual_output_funchead_two_coarse_lambda09_best_large	9.463828613636423
Italian	911553149	manual_output_funchead_two_coarse_lambda09_best_large	6.494120749324979
Afrikaans	2244052059	manual_output_funchead_two_coarse_lambda09_best_large	6.637841026173551
Finnish	8278855198	manual_output_funchead_two_coarse_lambda09_best_large	8.031933730283937
Croatian	3099887828	manual_output_funchead_two_coarse_lambda09_best_large	8.008236766461202
Slovenian	1131642226	manual_output_funchead_two_coarse_lambda09_best_large	7.778823492842963
Lithuanian	1187756157	manual_output_funchead_two_coarse_lambda09_best_large	9.257642731630712
Dutch	5266995269	manual_output_funchead_two_coarse_lambda09_best_large	6.9636955911337886
Swedish	513851515	manual_output_funchead_two_coarse_lambda09_best_large	7.191445532315657
Spanish	1083174828	manual_output_funchead_two_coarse_lambda09_best_large	6.078478643738457
German	136153380	manual_output_funchead_two_coarse_lambda09_best_large	7.23006808567704
Finnish	5335149485	manual_output_funchead_two_coarse_lambda09_best_large	8.133259440673246
Ancient_Greek	2121072826	manual_output_funchead_two_coarse_lambda09_best_large	7.318242288529006
Chinese	852200053	manual_output_funchead_two_coarse_lambda09_best_large	7.9738569412021265
Catalan	5306277338	manual_output_funchead_two_coarse_lambda09_best_large	5.845256760887824
Turkish	8151228474	manual_output_funchead_two_coarse_lambda09_best_large	9.12080272775341
Hindi	9408810693	manual_output_funchead_two_coarse_lambda09_best_large	5.796509835354302
Catalan	1962043850	manual_output_funchead_two_coarse_lambda09_best_large	5.907196672103936
Swedish	5945751659	manual_output_funchead_two_coarse_lambda09_best_large	7.172561940564358
Danish	7575930030	manual_output_funchead_two_coarse_lambda09_best_large	7.313734185486132
Latin	8298287341	manual_output_funchead_two_coarse_lambda09_best_large	7.636851869713512
Norwegian	6706419946	manual_output_funchead_two_coarse_lambda09_best_large	6.904951476784583
Finnish	2319061700	manual_output_funchead_two_coarse_lambda09_best_large	8.0761050606775
Hebrew	5904258105	manual_output_funchead_two_coarse_lambda09_best_large	7.072813304535278
Danish	5500305980	manual_output_funchead_two_coarse_lambda09_best_large	7.2562979959560145
German	3150957569	manual_output_funchead_two_coarse_lambda09_best_large	7.262488104606587
German	3150957569	manual_output_funchead_two_coarse_lambda09_best_large	7.210032199350658
Indonesian	3375856929	manual_output_funchead_two_coarse_lambda09_best_large	7.952861230144134
Finnish	8684997966	manual_output_funchead_two_coarse_lambda09_best_large	8.091888407677342
Ancient_Greek	7121520514	manual_output_funchead_two_coarse_lambda09_best_large	7.4076428844879825
Bulgarian	6688858397	manual_output_funchead_two_coarse_lambda09_best_large	7.625141704329868
Galician	9888894181	manual_output_funchead_two_coarse_lambda09_best_large	6.416376263851592
Marathi	5658968522	manual_output_funchead_two_coarse_lambda09_best_large	7.279946028780775
Galician	845646266	manual_output_funchead_two_coarse_lambda09_best_large	6.409783064364955
Basque	1933414271	manual_output_funchead_two_coarse_lambda09_best_large	8.394023637989367
Spanish	3508122133	manual_output_funchead_two_coarse_lambda09_best_large	6.062468209500274
Persian	6820022821	manual_output_funchead_two_coarse_lambda09_best_large	7.070562933917088
Tamil	4192998455	manual_output_funchead_two_coarse_lambda09_best_large	9.155116197248264
Spanish	1470278488	manual_output_funchead_two_coarse_lambda09_best_large	6.089389101259683
Latin	9577508682	manual_output_funchead_two_coarse_lambda09_best_large	7.609109389316459
Greek	6619864691	manual_output_funchead_two_coarse_lambda09_best_large	7.264779522392944
Hindi	4611313920	manual_output_funchead_two_coarse_lambda09_best_large	5.73256109074929
Telugu	3545160889	manual_output_funchead_two_coarse_lambda09_best_large	8.020279301434929
Polish	6951943963	manual_output_funchead_two_coarse_lambda09_best_large	8.703473791597094
Ukrainian	4301405722	manual_output_funchead_two_coarse_lambda09_best_large	9.223382909360797
Ukrainian	6204132549	manual_output_funchead_two_coarse_lambda09_best_large	9.182812582420427
French	6320535347	manual_output_funchead_two_coarse_lambda09_best_large	5.754728812809177
Portuguese	5245130517	manual_output_funchead_two_coarse_lambda09_best_large	6.137032060236231
Russian	751101750	manual_output_funchead_two_coarse_lambda09_best_large	7.269674335786285
Ukrainian	9861169709	manual_output_funchead_two_coarse_lambda09_best_large	9.24695823638373
Belarusian	2064241235	manual_output_funchead_two_coarse_lambda09_best_large	9.120390536963479
Greek	9770309800	manual_output_funchead_two_coarse_lambda09_best_large	7.322992294277076
Basque	7825666655	manual_output_funchead_two_coarse_lambda09_best_large	8.365529501082722
Hungarian	2692870494	manual_output_funchead_two_coarse_lambda09_best_large	8.64846257635122
Slovenian	6127724000	manual_output_funchead_two_coarse_lambda09_best_large	7.780383245996079
Hindi	2868111645	manual_output_funchead_two_coarse_lambda09_best_large	5.715162423907042
English	9632101529	manual_output_funchead_two_coarse_lambda09_best_large	6.52892042914948
Hebrew	6281657213	manual_output_funchead_two_coarse_lambda09_best_large	6.767359769014087
English	9021624881	manual_output_funchead_two_coarse_lambda09_best_large	6.602280574473602
Indonesian	4731998067	manual_output_funchead_two_coarse_lambda09_best_large	7.913113071363903
Latvian	5748753439	manual_output_funchead_two_coarse_lambda09_best_large	8.8805366807546
Tamil	4037091544	manual_output_funchead_two_coarse_lambda09_best_large	9.171664640600651
Norwegian	6682403629	manual_output_funchead_two_coarse_lambda09_best_large	6.806676109342975
Telugu	783725394	manual_output_funchead_two_coarse_lambda09_best_large	8.129587652143703
Hungarian	993437270	manual_output_funchead_two_coarse_lambda09_best_large	8.655357331708313
Italian	3185031035	manual_output_funchead_two_coarse_lambda09_best_large	6.501404240467337
Chinese	2313695943	manual_output_funchead_two_coarse_lambda09_best_large	8.017952988539626
Irish	2623977758	manual_output_funchead_two_coarse_lambda09_best_large	8.119111097224806
Vietnamese	3624577628	manual_output_funchead_two_coarse_lambda09_best_large	7.7933223262757085
Afrikaans	2869394950	manual_output_funchead_two_coarse_lambda09_best_large	6.642930301037249
Chinese	7647437770	manual_output_funchead_two_coarse_lambda09_best_large	7.994746582129332
Ancient_Greek	2460249038	manual_output_funchead_two_coarse_lambda09_best_large	7.426269241843799
Dutch	8705762937	manual_output_funchead_two_coarse_lambda09_best_large	6.990216355529846
Dutch	6955889391	manual_output_funchead_two_coarse_lambda09_best_large	6.929479265639208
German	71307869	manual_output_funchead_two_coarse_lambda09_best_large	7.317200279055986
Vietnamese	8604993053	manual_output_funchead_two_coarse_lambda09_best_large	7.71409282367176
Basque	5417024915	manual_output_funchead_two_coarse_lambda09_best_large	8.408823540298316
Korean	7538096224	manual_output_funchead_two_coarse_lambda09_best_large	7.9697322531528085
Lithuanian	5938709556	manual_output_funchead_two_coarse_lambda09_best_large	9.23813180665712
Coptic	1512478300	manual_output_funchead_two_coarse_lambda09_best_large	5.296619372037829
Marathi	6527573707	manual_output_funchead_two_coarse_lambda09_best_large	7.7639822468805155
Basque	7473453870	manual_output_funchead_two_coarse_lambda09_best_large	8.478284074779287
Old_Church_Slavonic	3901401544	manual_output_funchead_two_coarse_lambda09_best_large	6.914384267246
Marathi	6983409439	manual_output_funchead_two_coarse_lambda09_best_large	7.458901040028717
Russian	1126867524	manual_output_funchead_two_coarse_lambda09_best_large	7.189252981905428
Slovenian	5947007887	manual_output_funchead_two_coarse_lambda09_best_large	7.757298648919179
Persian	809465018	manual_output_funchead_two_coarse_lambda09_best_large	6.9605171914601085
Polish	5790044463	manual_output_funchead_two_coarse_lambda09_best_large	8.668810615050315
Coptic	5656083375	manual_output_funchead_two_coarse_lambda09_best_large	5.171333431917079
Turkish	6350748724	manual_output_funchead_two_coarse_lambda09_best_large	9.199203058101974
Basque	6601537573	manual_output_funchead_two_coarse_lambda09_best_large	8.394275181427371
Greek	1540783101	manual_output_funchead_two_coarse_lambda09_best_large	7.29287563862201
Slovak	2297067531	manual_output_funchead_two_coarse_lambda09_best_large	9.368396981303375
Hindi	5962983572	manual_output_funchead_two_coarse_lambda09_best_large	5.829961370535537
Czech	6306938640	manual_output_funchead_two_coarse_lambda09_best_large	6.977169848858392
Norwegian	6853357504	manual_output_funchead_two_coarse_lambda09_best_large	6.8683515103426815
Chinese	1525295101	manual_output_funchead_two_coarse_lambda09_best_large	7.998181686191191
Ukrainian	7364747851	manual_output_funchead_two_coarse_lambda09_best_large	9.258835576389153
Finnish	3529350779	manual_output_funchead_two_coarse_lambda09_best_large	8.075926838465893
Japanese	9193927684	manual_output_funchead_two_coarse_lambda09_best_large	6.357973352490664
Urdu	3992706298	manual_output_funchead_two_coarse_lambda09_best_large	6.1490885150168095
Romanian	6677228325	manual_output_funchead_two_coarse_lambda09_best_large	7.459661497536583
Arabic	2481192020	manual_output_funchead_two_coarse_lambda09_best_large	6.905109786996501
Korean	8121711353	manual_output_funchead_two_coarse_lambda09_best_large	7.834467362061711
Latin	1542884737	manual_output_funchead_two_coarse_lambda09_best_large	7.501436515637931
Latin	1542884737	manual_output_funchead_two_coarse_lambda09_best_large	7.726642594747115
Latvian	7669348116	manual_output_funchead_two_coarse_lambda09_best_large	8.89408731916832
Finnish	3542538061	manual_output_funchead_two_coarse_lambda09_best_large	8.073107102669027
Dutch	7775405388	manual_output_funchead_two_coarse_lambda09_best_large	6.987946578423792
Old_Church_Slavonic	4613178219	manual_output_funchead_two_coarse_lambda09_best_large	6.88492607172108
Vietnamese	2356922538	manual_output_funchead_two_coarse_lambda09_best_large	7.720835636513694
Polish	7337863333	manual_output_funchead_two_coarse_lambda09_best_large	8.691341937949124
Arabic	1713853144	manual_output_funchead_two_coarse_lambda09_best_large	6.876940022500632
Tamil	3390016856	manual_output_funchead_two_coarse_lambda09_best_large	9.247744304336248
Catalan	7875549067	manual_output_funchead_two_coarse_lambda09_best_large	5.868625522499237
English	677471935	manual_output_funchead_two_coarse_lambda09_best_large	6.627061720906781
Irish	4619624644	manual_output_funchead_two_coarse_lambda09_best_large	8.059978187077887
Old_Church_Slavonic	6385418183	manual_output_funchead_two_coarse_lambda09_best_large	6.920848779877027
Hindi	4220078889	manual_output_funchead_two_coarse_lambda09_best_large	5.835629998491501
Arabic	6427878818	manual_output_funchead_two_coarse_lambda09_best_large	6.90117665727814
Russian	5457228368	manual_output_funchead_two_coarse_lambda09_best_large	7.202061645805359
Finnish	4663177148	manual_output_funchead_two_coarse_lambda09_best_large	8.051454534081437
Arabic	861592665	manual_output_funchead_two_coarse_lambda09_best_large	6.826752650878117
Telugu	6134024528	manual_output_funchead_two_coarse_lambda09_best_large	8.118342927757308
Indonesian	4418369424	manual_output_funchead_two_coarse_lambda09_best_large	7.897832738198658
Bulgarian	204987555	manual_output_funchead_two_coarse_lambda09_best_large	7.718360931568847
Vietnamese	2901261142	manual_output_funchead_two_coarse_lambda09_best_large	7.767925736145837
Korean	8609572867	manual_output_funchead_two_coarse_lambda09_best_large	7.848503611011914
Gothic	4762537530	manual_output_funchead_two_coarse_lambda09_best_large	7.057378481634209
Turkish	4031801034	manual_output_funchead_two_coarse_lambda09_best_large	9.130889631716004
Portuguese	9549591685	manual_output_funchead_two_coarse_lambda09_best_large	6.122045051544915
Swedish	5300064062	manual_output_funchead_two_coarse_lambda09_best_large	7.114781173597388
Coptic	1634291040	manual_output_funchead_two_coarse_lambda09_best_large	5.136108620849178
Czech	2331880029	manual_output_funchead_two_coarse_lambda09_best_large	6.920037974331657
Italian	1068152483	manual_output_funchead_two_coarse_lambda09_best_large	6.448855043624807
Afrikaans	4418056942	manual_output_funchead_two_coarse_lambda09_best_large	7.202258669710615
Lithuanian	6343132952	manual_output_funchead_two_coarse_lambda09_best_large	9.519831854762346
Gothic	6118902839	manual_output_funchead_two_coarse_lambda09_best_large	6.861462521282379
Serbian	7392364811	manual_output_funchead_two_coarse_lambda09_best_large	7.813139363281557
Portuguese	1058558034	manual_output_funchead_two_coarse_lambda09_best_large	6.141804791162554
Turkish	4164831056	manual_output_funchead_two_coarse_lambda09_best_large	9.188243895414894
Latin	6935517048	manual_output_funchead_two_coarse_lambda09_best_large	7.574160563942565
Italian	2158478159	manual_output_funchead_two_coarse_lambda09_best_large	6.497994967144365
Swedish	8794742346	manual_output_funchead_two_coarse_lambda09_best_large	7.082698717699403
Danish	8690418231	manual_output_funchead_two_coarse_lambda09_best_large	7.317480537823237
Hindi	2815589020	manual_output_funchead_two_coarse_lambda09_best_large	5.749175207211979
Telugu	3951998013	manual_output_funchead_two_coarse_lambda09_best_large	8.097508221456449
Bulgarian	7592514626	manual_output_funchead_two_coarse_lambda09_best_large	7.75375539879758
Marathi	6450362268	manual_output_funchead_two_coarse_lambda09_best_large	7.289323162641682
Slovak	2176339944	manual_output_funchead_two_coarse_lambda09_best_large	9.362566588326988
Indonesian	4470228795	manual_output_funchead_two_coarse_lambda09_best_large	7.929522566187302
Danish	4554946807	manual_output_funchead_two_coarse_lambda09_best_large	7.335830230195883
Coptic	2061526880	manual_output_funchead_two_coarse_lambda09_best_large	5.073932283758696
Czech	8141685977	manual_output_funchead_two_coarse_lambda09_best_large	6.889791230789677
Dutch	5101586457	manual_output_funchead_two_coarse_lambda09_best_large	6.988812307563823
Czech	9341244952	manual_output_funchead_two_coarse_lambda09_best_large	6.8994023709358645
Estonian	453495948	manual_output_funchead_two_coarse_lambda09_best_large	8.563694140199228
Estonian	1534374712	manual_output_funchead_two_coarse_lambda09_best_large	8.640155372353036
Irish	9473689637	manual_output_funchead_two_coarse_lambda09_best_large	8.404599676481231
Afrikaans	9098792234	manual_output_funchead_two_coarse_lambda09_best_large	6.602291243503865
Afrikaans	1658885477	manual_output_funchead_two_coarse_lambda09_best_large	6.556088532435922
Marathi	1414525351	manual_output_funchead_two_coarse_lambda09_best_large	7.088996007844999
Telugu	6994226783	manual_output_funchead_two_coarse_lambda09_best_large	8.015429857665417
Romanian	4119230459	manual_output_funchead_two_coarse_lambda09_best_large	7.418838282199646
Basque	717795527	manual_output_funchead_two_coarse_lambda09_best_large	8.399219773871204
Irish	3555231916	manual_output_funchead_two_coarse_lambda09_best_large	8.061598067114403
Romanian	6784975297	manual_output_funchead_two_coarse_lambda09_best_large	7.462498536137991
Chinese	9308509808	manual_output_funchead_two_coarse_lambda09_best_large	7.968514333327392
French	3037027383	manual_output_funchead_two_coarse_lambda09_best_large	5.785435313971927
Coptic	3725234897	manual_output_funchead_two_coarse_lambda09_best_large	5.162263476427864
Tamil	4619391188	manual_output_funchead_two_coarse_lambda09_best_large	9.197738519508212
Latin	1528853115	manual_output_funchead_two_coarse_lambda09_best_large	7.619726966465673
Latin	5784962908	manual_output_funchead_two_coarse_lambda09_best_large	7.61418249203241
Marathi	5529731670	manual_output_funchead_two_coarse_lambda09_best_large	7.4047123781840005
Russian	1289860948	manual_output_funchead_two_coarse_lambda09_best_large	7.256886879918334
Croatian	609458335	manual_output_funchead_two_coarse_lambda09_best_large	8.031764224498009
Latvian	3845175163	manual_output_funchead_two_coarse_lambda09_best_large	8.916019645859867
Spanish	7552240600	manual_output_funchead_two_coarse_lambda09_best_large	6.062350221482862
Japanese	313937142	manual_output_funchead_two_coarse_lambda09_best_large	6.322982357957857
Urdu	527124779	manual_output_funchead_two_coarse_lambda09_best_large	6.102746664038693
German	8515262878	manual_output_funchead_two_coarse_lambda09_best_large	7.3613492804235285
Belarusian	1452304414	manual_output_funchead_two_coarse_lambda09_best_large	9.131418149013019
Romanian	4598797318	manual_output_funchead_two_coarse_lambda09_best_large	7.473346360689583
Catalan	6485767966	manual_output_funchead_two_coarse_lambda09_best_large	5.965132567373237
Russian	1654461679	manual_output_funchead_two_coarse_lambda09_best_large	7.225465544304386
Old_Church_Slavonic	9036276423	manual_output_funchead_two_coarse_lambda09_best_large	6.933494162119658
