Language	FileName	ModelName	Counter	Model	Temperature	OriginalCounter	AverageLengthPerWord	AverageLengthPerSentence	OriginalLoss	Type
Hungarian	2689550	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	910	493437	Infinity	100440	2.76207633588	49.7021978022	NA	manual_output_funchead_two_coarse_final
German	8730529	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13810	9067692	Infinity	50790	2.89043927409	45.059666908	NA	manual_output_funchead_two_coarse_final
Marathi	2363422	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	370	2924198	Infinity	50040	1.95831313621	10.9189189189	NA	manual_output_funchead_two_coarse_final
Swedish	9807074	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7040	1753075	Infinity	251410	2.31515774674	31.34375	NA	manual_output_funchead_two_coarse_final
Dutch	9827321	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	819865	Infinity	101510	2.78118840673	32.9068814855	NA	manual_output_funchead_two_coarse_final
Bulgarian	4271267	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8900	1515945	Infinity	251110	2.55207780545	28.0980898876	NA	manual_output_funchead_two_coarse_final
Gothic	2467376	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3380	4407799	Infinity	250980	3.0088055494	28.1038461538	NA	manual_output_funchead_two_coarse_final
Vietnamese	5022964	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	4501341	Infinity	50800	2.13052499214	24.2042857143	NA	manual_output_funchead_two_coarse_final
Greek	2002086	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1660	1583560	Infinity	150400	3.4872919694	76.621686747	NA	manual_output_funchead_two_coarse_final
Basque	3519375	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	5390	4624885	Infinity	101790	2.09860914919	21.499257885	NA	manual_output_funchead_two_coarse_final
Swedish	2470477	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7040	9665566	Infinity	251410	3.14888215114	42.6338068182	NA	manual_output_funchead_two_coarse_final
Latvian	9421667	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	6043470	Infinity	250980	3.0780733346	35.4733009709	NA	manual_output_funchead_two_coarse_final
Hindi	2874033	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13300	1582878	Infinity	251650	2.69727369148	50.4791729323	NA	manual_output_funchead_two_coarse_final
Dutch	1505245	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	2238985	Infinity	101510	2.76220325605	32.6822501365	NA	manual_output_funchead_two_coarse_final
Telugu	2902707	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1050	6102545	Infinity	50130	1.44583333333	3.96571428571	NA	manual_output_funchead_two_coarse_final
Slovenian	8424946	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7530	9613555	Infinity	151810	2.3595985501	31.0354581673	NA	manual_output_funchead_two_coarse_final
Vietnamese	2670870	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	4398689	Infinity	100800	2.23778685948	25.4228571429	NA	manual_output_funchead_two_coarse_final
Lithuanian	811179	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	5517701	Infinity	100050	2.54345061467	40.0	NA	manual_output_funchead_two_coarse_final
Persian	9494636	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4790	761124	Infinity	250590	3.94584175995	86.7599164927	NA	manual_output_funchead_two_coarse_final
Korean	9080348	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27410	4492370	Infinity	253010	2.47409370006	25.7551258665	NA	manual_output_funchead_two_coarse_final
Lithuanian	3419902	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	2018298	Infinity	50050	3.24818763326	50.78	NA	manual_output_funchead_two_coarse_final
Telugu	2301128	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1050	8144536	Infinity	50130	1.45015630427	3.97619047619	NA	manual_output_funchead_two_coarse_final
Italian	8139472	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17420	9538959	Infinity	251070	3.61881280179	64.7925373134	NA	manual_output_funchead_two_coarse_final
Belarusian	3909255	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	260	1761120	Infinity	100060	2.5338087042	39.6346153846	NA	manual_output_funchead_two_coarse_final
Telugu	794724	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1050	7676062	Infinity	50130	1.41681139284	3.88476190476	NA	manual_output_funchead_two_coarse_final
Persian	6489350	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4790	406648	Infinity	250590	3.47483025497	76.3918580376	NA	manual_output_funchead_two_coarse_final
Dutch	6168904	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	18310	7267114	Infinity	251510	2.76765462074	32.7467504096	NA	manual_output_funchead_two_coarse_final
Afrikaans	2425060	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1310	5256562	Infinity	150190	2.84310920362	63.7160305344	NA	manual_output_funchead_two_coarse_final
Latvian	5149225	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	8489329	Infinity	50980	3.19617093873	36.8327669903	NA	manual_output_funchead_two_coarse_final
Arabic	3113190	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	21860	900376	Infinity	302890	3.38082711727	110.178774016	NA	manual_output_funchead_two_coarse_final
Korean	1765120	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27410	6208691	Infinity	253010	2.69989065523	28.1056548705	NA	manual_output_funchead_two_coarse_final
Spanish	6166369	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	28490	4080276	Infinity	53050	3.44143598321	84.934011934	NA	manual_output_funchead_two_coarse_final
Urdu	9743826	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4040	2925374	Infinity	200550	2.94022117861	72.0608910891	NA	manual_output_funchead_two_coarse_final
Russian	487403	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	52660	8390989	Infinity	257160	2.30278995975	31.5592859856	NA	manual_output_funchead_two_coarse_final
Lithuanian	3998496	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	2310093	Infinity	50050	3.09511677282	48.5933333333	NA	manual_output_funchead_two_coarse_final
Persian	3923207	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4790	5160477	Infinity	200590	4.08625288316	89.8745302714	NA	manual_output_funchead_two_coarse_final
Romanian	5009144	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8660	5402816	Infinity	250750	2.72591831174	50.8330254042	NA	manual_output_funchead_two_coarse_final
Romanian	9955949	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	8660	2051198	Infinity	100750	3.64666980408	68.0032332564	NA	manual_output_funchead_two_coarse_final
Irish	6867743	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	120	6867131	Infinity	50450	3.84621127286	85.8666666667	NA	manual_output_funchead_two_coarse_final
Arabic	9801376	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	21860	376593	Infinity	102890	3.17335388131	103.428545288	NA	manual_output_funchead_two_coarse_final
Vietnamese	8921815	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1400	2127165	Infinity	100800	2.15542282301	24.4871428571	NA	manual_output_funchead_two_coarse_final
Ancient_Greek	3549097	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	26320	8633356	Infinity	252150	2.32467903379	26.2866261398	NA	manual_output_funchead_two_coarse_final
Lithuanian	2274009	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	150	5265306	Infinity	50050	3.42234685073	52.8866666667	NA	manual_output_funchead_two_coarse_final
Japanese	8980961	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7160	1933940	Infinity	250510	2.51746853056	48.517877095	NA	manual_output_funchead_two_coarse_final
Gothic	3611497	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3380	1123610	Infinity	100980	3.29624936645	30.7857988166	NA	manual_output_funchead_two_coarse_final
Marathi	5227396	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	370	9569285	Infinity	50040	2.06343825666	11.5162162162	NA	manual_output_funchead_two_coarse_final
Estonian	631716	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6950	1997341	Infinity	100850	2.67091230811	24.1077697842	NA	manual_output_funchead_two_coarse_final
Urdu	9481620	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4040	301077	Infinity	50550	2.95494294658	72.4326732673	NA	manual_output_funchead_two_coarse_final
Hungarian	8500445	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	910	7405987	Infinity	100440	3.34607633588	60.210989011	NA	manual_output_funchead_two_coarse_final
Hungarian	5458423	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	910	1306355	Infinity	100440	3.25557251908	58.5824175824	NA	manual_output_funchead_two_coarse_final
Old_Church_Slavonic	3545536	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	3225046	Infinity	251070	2.56910642389	20.7536407767	NA	manual_output_funchead_two_coarse_final
Ukrainian	3835980	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4500	5223250	Infinity	250570	2.95227039098	37.0162222222	NA	manual_output_funchead_two_coarse_final
Urdu	4803905	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4040	3321627	Infinity	100550	3.07660146033	75.4064356436	NA	manual_output_funchead_two_coarse_final
Portuguese	342514	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17990	2820057	Infinity	251770	2.57556557781	54.8856031128	NA	manual_output_funchead_two_coarse_final
Belarusian	33840	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	260	9710791	Infinity	50060	3.07819031227	48.15	NA	manual_output_funchead_two_coarse_final
Spanish	1782122	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	28490	7581102	Infinity	203050	2.95470137982	72.9221130221	NA	manual_output_funchead_two_coarse_final
Latin	930807	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	30590	466387	Infinity	52560	3.29454995454	38.3804838182	NA	manual_output_funchead_two_coarse_final
Croatian	4792556	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7680	9959647	Infinity	100600	2.60824434428	47.7682291667	NA	manual_output_funchead_two_coarse_final
Korean	1971477	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	27410	7406436	Infinity	103010	2.2847029467	23.7835826341	NA	manual_output_funchead_two_coarse_final
Latin	366983	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	30590	6076750	Infinity	402560	2.96832086558	34.5821510297	NA	manual_output_funchead_two_coarse_final
Russian	7949985	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	52660	3346981	Infinity	257160	2.294194673	31.4409229016	NA	manual_output_funchead_two_coarse_final
Basque	1767223	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	5390	6590783	Infinity	251790	2.12567702201	21.7714285714	NA	manual_output_funchead_two_coarse_final
French	2432943	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	32340	9891928	Infinity	103230	3.56428334109	82.9296536797	NA	manual_output_funchead_two_coarse_final
