Language	Model	Type	BigramCE
Bulgarian	1170573905	manual_output_funchead_two_coarse_lambda09_best_large	6.58715019882
Bulgarian	1849770	manual_output_funchead_RANDOM	6.65306338942
Bulgarian	2190764	manual_output_funchead_RANDOM2	6.6474314043
Bulgarian	3052631	manual_output_funchead_coarse_depl	6.57434296007
Bulgarian	3291464	manual_output_funchead_RANDOM2	6.74164019818
Bulgarian	3755973	manual_output_funchead_RANDOM	6.64768673792
Bulgarian	4754721	manual_output_funchead_two_coarse_parser_best_balanced	6.59240701504
Bulgarian	4921369	manual_output_funchead_RANDOM2	6.6590160354
Bulgarian	5098953	manual_output_funchead_RANDOM2	6.70608944161
Bulgarian	5183226	manual_output_funchead_RANDOM	6.6782666122
Bulgarian	5224535	manual_output_funchead_RANDOM2	6.63042521702
Bulgarian	6102528	manual_output_funchead_ground_coarse_final	6.56383819844
Bulgarian	6159828	manual_output_funchead_RANDOM	6.70427579656
Bulgarian	6579329	manual_output_funchead_RANDOM2	6.63445452251
Bulgarian	6688858397	manual_output_funchead_two_coarse_lambda09_best_large	6.58033507493
Bulgarian	6921380	manual_output_funchead_RANDOM2	6.66312885143
Bulgarian	7735720	manual_output_funchead_RANDOM2	6.66304910125
Bulgarian	7768185	manual_output_funchead_RANDOM	6.66258071914
Bulgarian	7776606	manual_output_funchead_RANDOM	6.63197822669
Bulgarian	8063947	manual_output_funchead_RANDOM	6.63819668257
Bulgarian	8112821	manual_output_funchead_RANDOM2	6.67259933276
Bulgarian	8811275	manual_output_funchead_RANDOM2	6.69303005929
Bulgarian	8929730	manual_output_funchead_RANDOM	6.68185281635
Bulgarian	9053822	manual_output_funchead_RANDOM	6.60213958726
Bulgarian	9536699	manual_output_funchead_RANDOM2	6.7219576583
Bulgarian	9822592	manual_output_funchead_RANDOM	6.72041998386
Bulgarian	9826531	manual_output_funchead_RANDOM	6.66609845843
Catalan	1272742	manual_output_funchead_RANDOM	5.99591481432
Catalan	2191530	manual_output_funchead_RANDOM2	6.09019770284
Catalan	3156594	manual_output_funchead_RANDOM	6.08055397767
Catalan	3263160	manual_output_funchead_RANDOM	5.9841774638
Catalan	3272188	manual_output_funchead_RANDOM	5.95249327128
Catalan	3537777	manual_output_funchead_RANDOM2	5.93952744804
Catalan	3683711	manual_output_funchead_RANDOM2	5.96225495358
Catalan	3700798	manual_output_funchead_RANDOM	5.98197727514
Catalan	374653	manual_output_funchead_RANDOM2	6.04392689286
Catalan	4001769	manual_output_funchead_coarse_depl	5.78087167987
Catalan	5306277338	manual_output_funchead_two_coarse_lambda09_best_large	5.82058621135
Catalan	5571155	manual_output_funchead_RANDOM	6.03283249719
Catalan	5755238	manual_output_funchead_RANDOM2	6.03348951469
Catalan	6448809	manual_output_funchead_RANDOM2	5.95840896729
Catalan	650252	manual_output_funchead_RANDOM	6.11772465324
Catalan	6550321	manual_output_funchead_ground_coarse_final	5.73970366719
Catalan	6910916	manual_output_funchead_RANDOM	6.08087587172
Catalan	7387475	manual_output_funchead_RANDOM2	6.00785440654
Catalan	7875549067	manual_output_funchead_two_coarse_lambda09_best_large	5.85098201077
Catalan	7924221	manual_output_funchead_RANDOM2	6.04149534018
Catalan	8210028	manual_output_funchead_RANDOM2	6.03354634556
Catalan	8673048	manual_output_funchead_RANDOM	5.98489558188
Catalan	881279	manual_output_funchead_RANDOM2	6.02942912009
Catalan	8978861646	manual_output_funchead_langmod_coarse_best_balanced	5.77934134207
Catalan	9068988	manual_output_funchead_RANDOM	5.93215985137
Catalan	9428544	manual_output_funchead_RANDOM2	6.02443187397
Catalan	9709466151	manual_output_funchead_two_coarse_parser_best_balanced	5.8792501232
Chinese	1105957	manual_output_funchead_ground_coarse_final	7.42123559663
Chinese	133935	manual_output_funchead_RANDOM2	7.43232551959
Chinese	1371976	manual_output_funchead_RANDOM	7.45292040114
Chinese	1408654	manual_output_funchead_RANDOM	7.46325813984
Chinese	2045095097	manual_output_funchead_two_coarse_lambda09_best_large	7.3992245562
Chinese	2859078	manual_output_funchead_RANDOM	7.43212068336
Chinese	3135880	manual_output_funchead_RANDOM	7.46689146919
Chinese	3267783	manual_output_funchead_RANDOM	7.39825358802
Chinese	342453	manual_output_funchead_RANDOM	7.38374902518
Chinese	4334711614	manual_output_funchead_two_coarse_parser_best_balanced	7.3789258535
Chinese	4863208342	manual_output_funchead_two_coarse_lambda09_best_large	7.35529245341
Chinese	4995543	manual_output_funchead_RANDOM2	7.43674292686
Chinese	5383658	manual_output_funchead_RANDOM2	7.45754170563
Chinese	5466874	manual_output_funchead_RANDOM	7.41611737358
Chinese	5514674	manual_output_funchead_RANDOM	7.48270236551
Chinese	6203409	manual_output_funchead_RANDOM2	7.4432270474
Chinese	6463685	manual_output_funchead_RANDOM	7.42556289175
Chinese	6626781	manual_output_funchead_RANDOM	7.44944380227
Chinese	6899795	manual_output_funchead_coarse_depl	7.37408005649
Chinese	7086024	manual_output_funchead_RANDOM2	7.47280797043
Chinese	7379212	manual_output_funchead_RANDOM2	7.45550955509
Chinese	7848689	manual_output_funchead_RANDOM2	7.39195907802
Chinese	8020511	manual_output_funchead_RANDOM2	7.45150547027
Chinese	811323	manual_output_funchead_RANDOM2	7.45007456574
Chinese	8700156	manual_output_funchead_RANDOM2	7.47417973991
Chinese	9211633685	manual_output_funchead_langmod_coarse_best_balanced	7.39631193938
Chinese	9559108	manual_output_funchead_RANDOM2	7.46299553043
Chinese	9893802	manual_output_funchead_RANDOM2	7.41441577355
Chinese	9941860	manual_output_funchead_RANDOM	7.42621054896
Coptic	1124565	manual_output_funchead_coarse_depl	4.56558961617
Coptic	124981	manual_output_funchead_RANDOM2	4.6702564029
Coptic	1266165	manual_output_funchead_RANDOM	4.78669511499
Coptic	136183421	manual_output_funchead_two_coarse_parser_best_balanced	4.60604434902
Coptic	18589	manual_output_funchead_RANDOM2	4.80128547321
Coptic	2061526880	manual_output_funchead_two_coarse_lambda09_best_large	4.64275357293
Coptic	294567	manual_output_funchead_RANDOM	4.76252918538
Coptic	309560	manual_output_funchead_RANDOM	4.76559649753
Coptic	3105920	manual_output_funchead_RANDOM2	4.66163211809
Coptic	3421660	manual_output_funchead_RANDOM	4.75435692009
Coptic	3441948	manual_output_funchead_RANDOM	4.69549177001
Coptic	3767943	manual_output_funchead_RANDOM	4.70065123088
Coptic	3899223	manual_output_funchead_RANDOM2	4.70963298558
Coptic	4068777	manual_output_funchead_RANDOM	4.60410196446
Coptic	5155803	manual_output_funchead_ground_coarse_final	4.63065497577
Coptic	5504484	manual_output_funchead_RANDOM2	4.65402035498
Coptic	6041088033	manual_output_funchead_two_coarse_lambda09_best_large	4.5744962945
Coptic	6352490	manual_output_funchead_RANDOM	4.66308172073
Coptic	6544166	manual_output_funchead_RANDOM2	4.72929146925
Coptic	6929336	manual_output_funchead_RANDOM2	4.74368345679
Coptic	6966416	manual_output_funchead_RANDOM2	4.739006533
Coptic	8182790	manual_output_funchead_RANDOM2	4.6782505285
Coptic	8542725903	manual_output_funchead_langmod_coarse_best_balanced	4.54172598983
Coptic	875152	manual_output_funchead_RANDOM2	4.70405439051
Coptic	8992524	manual_output_funchead_RANDOM	4.67918752097
Coptic	9411797	manual_output_funchead_RANDOM2	4.73784512094
Coptic	9556896	manual_output_funchead_RANDOM	4.65693925395
Croatian	2175574	manual_output_funchead_RANDOM	7.69529938849
Croatian	2298532	manual_output_funchead_RANDOM	7.68453070681
Croatian	2958608	manual_output_funchead_RANDOM2	7.54849426341
Croatian	3016310	manual_output_funchead_RANDOM	7.59723113451
Croatian	3321068676	manual_output_funchead_two_coarse_lambda09_best_large	7.49932620783
Croatian	3503660	manual_output_funchead_RANDOM2	7.60517247272
Croatian	3758835	manual_output_funchead_RANDOM	7.65750725892
Croatian	4016530	manual_output_funchead_RANDOM2	7.57655307048
Croatian	4489080	manual_output_funchead_RANDOM	7.61497432884
Croatian	4844745	manual_output_funchead_RANDOM	7.6569927726
Croatian	506115	manual_output_funchead_RANDOM2	7.58691653566
Croatian	5598659	manual_output_funchead_RANDOM2	7.62860503224
Croatian	5618635	manual_output_funchead_RANDOM	7.68348638862
Croatian	611165	manual_output_funchead_RANDOM2	7.66074299454
Croatian	6137653	manual_output_funchead_RANDOM2	7.6539539061
Croatian	6433428	manual_output_funchead_RANDOM	7.74605642815
Croatian	688124	manual_output_funchead_RANDOM	7.60148490716
Croatian	7402429	manual_output_funchead_RANDOM	7.62389744112
Croatian	7581654	manual_output_funchead_RANDOM2	7.64240581751
Croatian	767318	manual_output_funchead_RANDOM2	7.64244816661
Croatian	7984935	manual_output_funchead_RANDOM2	7.6047946755
Croatian	8107510327	manual_output_funchead_two_coarse_lambda09_best_large	7.54899588628
Croatian	8532333	manual_output_funchead_RANDOM2	7.56879773462
Croatian	9170449058	manual_output_funchead_langmod_coarse_best_balanced	7.47866801681
Croatian	9238767	manual_output_funchead_ground_coarse_final	7.51038414973
Croatian	9589665	manual_output_funchead_coarse_depl	7.49474139258
Croatian	9699710	manual_output_funchead_RANDOM	7.60287297172
Croatian	9809338784	manual_output_funchead_two_coarse_parser_best_balanced	7.54309450242
Czech	1220386	manual_output_funchead_RANDOM2	7.20955695816
Czech	1528218	manual_output_funchead_RANDOM2	7.32778274632
Czech	1596625	manual_output_funchead_RANDOM	7.28176233493
Czech	1759611	manual_output_funchead_RANDOM	7.2642590913
Czech	2331880029	manual_output_funchead_two_coarse_lambda09_best_large	7.14273417332
Czech	2367578	manual_output_funchead_RANDOM2	7.318049599
Czech	3177063	manual_output_funchead_RANDOM2	7.25075541784
Czech	402572728	manual_output_funchead_two_coarse_parser_best_balanced	7.15531821431
Czech	4040036	manual_output_funchead_RANDOM	7.30464618348
Czech	4085254	manual_output_funchead_RANDOM	7.17290958185
Czech	4312811	manual_output_funchead_RANDOM	7.26649025878
Czech	4325506	manual_output_funchead_RANDOM2	7.2377495058
Czech	4415014	manual_output_funchead_RANDOM2	7.2329623146
Czech	4574913	manual_output_funchead_RANDOM2	7.26598517593
Czech	4703473	manual_output_funchead_RANDOM2	7.23813615041
Czech	499722	manual_output_funchead_ground_coarse_final	7.13722280153
Czech	6060015	manual_output_funchead_RANDOM2	7.21867279526
Czech	7435170	manual_output_funchead_RANDOM	7.24736890999
Czech	7589946	manual_output_funchead_RANDOM2	7.27322277656
Czech	8166239	manual_output_funchead_RANDOM2	7.35952324971
Czech	8174370200	manual_output_funchead_langmod_coarse_best_balanced	7.02983603789
Czech	8654620	manual_output_funchead_coarse_depl	7.13044746652
Czech	8808258	manual_output_funchead_RANDOM	7.25846977548
Czech	9341244952	manual_output_funchead_two_coarse_lambda09_best_large	7.10281839575
