Language	Model	Type	Surp	FullSurp
Belarusian	5477271494	manual_output_funchead_two_coarse_lambda09_best_large	8.862621561460342	10.930923624529932
Coptic	4837152713	manual_output_funchead_two_coarse_lambda09_best_large	5.289151949531973	7.201501968722082
Tamil	9217670121	manual_output_funchead_two_coarse_lambda09_best_large	9.3735870965265	13.283601017032412
Latvian	9708684289	manual_output_funchead_two_coarse_lambda09_best_large	8.566957194797231	13.426011894211603
Italian	911553149	manual_output_funchead_two_coarse_lambda09_best_large	6.380174202988025	8.205872490640497
Romanian	8820061733	manual_output_funchead_two_coarse_lambda09_best_large	7.183307443442828	10.260534576353205
Latin	1105443501	manual_output_funchead_two_coarse_lambda09_best_large	7.636376955898836	11.394447698117167
Japanese	5152625031	manual_output_funchead_two_coarse_lambda09_best_large	6.43132906349188	6.431334144615779
Afrikaans	2244052059	manual_output_funchead_two_coarse_lambda09_best_large	6.3384943240134	8.87665078503803
Persian	3325739392	manual_output_funchead_two_coarse_lambda09_best_large	6.886626860658944	8.599982994362794
Lithuanian	3943961110	manual_output_funchead_two_coarse_lambda09_best_large	9.351307012032771	12.049936041163937
Ukrainian	786065646	manual_output_funchead_two_coarse_lambda09_best_large	8.762983588829588	12.778254632279232
Finnish	8278855198	manual_output_funchead_two_coarse_lambda09_best_large	7.925711304182602	10.577090869348618
Ukrainian	5680625075	manual_output_funchead_two_coarse_lambda09_best_large	8.794719821881731	12.835863738857595
Basque	8245831695	manual_output_funchead_two_coarse_lambda09_best_large	8.317117961172539	8.31713614489254
Croatian	3099887828	manual_output_funchead_two_coarse_lambda09_best_large	7.756889642479711	7.756903588518105
Afrikaans	8307133954	manual_output_funchead_two_coarse_lambda09_best_large	6.508282080333786	9.188673271430007
Portuguese	2164044809	manual_output_funchead_two_coarse_lambda09_best_large	6.11523641067342	8.148431423842984
Marathi	576148333	manual_output_funchead_two_coarse_lambda09_best_large	7.681367702484131	7.681595999399821
Ancient_Greek	8721468343	manual_output_funchead_two_coarse_lambda09_best_large	7.248252565257273	10.300753549569977
Old_Church_Slavonic	6405433687	manual_output_funchead_two_coarse_lambda09_best_large	6.855554292219107	8.72698086538193
German	7237154057	manual_output_funchead_two_coarse_lambda09_best_large	7.06036347204006	9.08219014076119
English	2539204204	manual_output_funchead_two_coarse_lambda09_best_large	6.510361047300639	8.812924950183001
Tamil	1931715706	manual_output_funchead_two_coarse_lambda09_best_large	9.046592053872315	12.904307960824164
Slovenian	1131642226	manual_output_funchead_two_coarse_lambda09_best_large	7.25899090023801	11.011871299129457
Galician	1106493779	manual_output_funchead_two_coarse_lambda09_best_large	6.180887706445831	8.89187776314126
Basque	8239865039	manual_output_funchead_two_coarse_lambda09_best_large	8.293397164361583	8.29343597814808
Catalan	4759555755	manual_output_funchead_two_coarse_lambda09_best_large	5.857774798608049	7.354998255316526
Slovenian	8507305788	manual_output_funchead_two_coarse_lambda09_best_large	7.365722256314262	11.10549331779501
Coptic	9080416429	manual_output_funchead_two_coarse_lambda09_best_large	5.311651291599164	7.299608651751039
Lithuanian	1187756157	manual_output_funchead_two_coarse_lambda09_best_large	9.165930209773602	11.83641527194788
Dutch	5266995269	manual_output_funchead_two_coarse_lambda09_best_large	6.733129222838116	9.274521927039876
Gothic	5935470810	manual_output_funchead_two_coarse_lambda09_best_large	6.890081539428833	8.990219363986231
