Language	Model	Type	UAS	Pars
Tamil	8235050	manual_output_funchead_RANDOM5	0.583184257603	2.0898102643451453
Basque	8058091	manual_output_funchead_RANDOM5	0.718862815884	1.263056969199131
Finnish	9092424	manual_output_funchead_RANDOM5	0.73295221142	1.181177303123585
Portuguese	1426562	manual_output_funchead_RANDOM5	0.827221910187	0.7083392763491565
Hebrew	4175741	manual_output_funchead_RANDOM5	0.805949429846	0.9395912656940087
Hebrew	2767333	manual_output_funchead_RANDOM5	0.794744670302	0.9642578938483719
Korean	4056369	manual_output_funchead_RANDOM5	0.516398439405	1.9858591623987636
Urdu	8933475	manual_output_funchead_RANDOM5	0.748486595561	1.0745489463987594
English	4820775	manual_output_funchead_RANDOM5	0.820967986648	0.848589206318169
English	4820775	manual_output_funchead_RANDOM5	0.8201335154	0.846392769512515
Estonian	3316563	manual_output_funchead_RANDOM5	0.728212194282	1.1589913059970052
Spanish	2024396	manual_output_funchead_RANDOM5	0.829345024511	0.7593879155530737
Arabic	48450	manual_output_funchead_RANDOM5	0.673479652003	1.3161345900452808
Catalan	9807978	manual_output_funchead_RANDOM5	0.824417144203	0.7380377636177404
Belarusian	8277787	manual_output_funchead_RANDOM5	0.532182103611	2.1629759415726832
Arabic	1822678	manual_output_funchead_RANDOM5	0.635030872454	1.405223986636484
Indonesian	653215	manual_output_funchead_RANDOM5	0.685861906999	1.3891149683253985
Hebrew	5047562	manual_output_funchead_RANDOM5	0.792959841349	0.9546778924759509
Spanish	6075549	manual_output_funchead_RANDOM5	0.817266387022	0.7857275869149092
Italian	9556405	manual_output_funchead_RANDOM5	0.834557258408	0.7409926107325367
Telugu	4969402	manual_output_funchead_RANDOM5	0.853564547206	0.7749356833037154
Afrikaans	1082594	manual_output_funchead_RANDOM5	0.794509151414	0.9173264652986495
Indonesian	661860	manual_output_funchead_RANDOM5	0.692813527478	1.371323769772316
Swedish	6221309	manual_output_funchead_RANDOM5	0.784632998346	1.0210505091132531
Romanian	3511079	manual_output_funchead_RANDOM5	0.705902146847	1.2450137958286571
Danish	5926356	manual_output_funchead_RANDOM5	0.751033173238	1.0115730595644608
