Language	Model	Type	UAS	Pars
Coptic	3642981499	manual_output_funchead_two_coarse_lambda09_best_large	0.8392652124	0.890885091676504
Slovak	2597955304	manual_output_funchead_two_coarse_lambda09_best_large	0.833724753405	0.7221741814745486
Slovak	2694480717	manual_output_funchead_two_coarse_lambda09_best_large	0.813715359324	0.772198541822877
Persian	809465018	manual_output_funchead_two_coarse_lambda09_best_large	0.858278054174	0.7404091041051202
Slovak	8619746208	manual_output_funchead_two_coarse_lambda09_best_large	0.820103334899	0.7802461690553313
Polish	5790044463	manual_output_funchead_two_coarse_lambda09_best_large	0.884467713787	0.49354882783984083
Lithuanian	4770962150	manual_output_funchead_two_coarse_lambda09_best_large	0.518686296716	2.329926042567563
Swedish	768870078	manual_output_funchead_two_coarse_lambda09_best_large	0.84959504728	0.8218060868976226
Telugu	3069414913	manual_output_funchead_two_coarse_lambda09_best_large	0.830443159923	0.8551655399087307
Ukrainian	1549783366	manual_output_funchead_two_coarse_lambda09_best_large	0.745825381679	1.1164186499046005
Latin	2984520075	manual_output_funchead_two_coarse_lambda09_best_large	0.708418478443	1.4189090473816177
Coptic	5656083375	manual_output_funchead_two_coarse_lambda09_best_large	0.805970149254	0.9952982662739628
Belarusian	4596137355	manual_output_funchead_two_coarse_lambda09_best_large	0.640502354788	1.8219307543157222
Italian	1239069177	manual_output_funchead_two_coarse_lambda09_best_large	0.869465730098	0.6405958883264512
Turkish	6350748724	manual_output_funchead_two_coarse_lambda09_best_large	0.574065020777	1.9653148978285673
Basque	6601537573	manual_output_funchead_two_coarse_lambda09_best_large	0.791265543522	1.080367916763857
Lithuanian	7657602354	manual_output_funchead_two_coarse_lambda09_best_large	0.463193657984	2.5138073161936294
Greek	1540783101	manual_output_funchead_two_coarse_lambda09_best_large	0.831454700128	0.7573819250971243
German	5715216458	manual_output_funchead_two_coarse_lambda09_best_large	0.857089587023	0.6720820594013954
Finnish	1165449940	manual_output_funchead_two_coarse_lambda09_best_large	0.803197316171	1.0148262578413028
Slovak	2297067531	manual_output_funchead_two_coarse_lambda09_best_large	0.841897604509	0.7005589257052607
Japanese	1241281058	manual_output_funchead_two_coarse_lambda09_best_large	0.877847188852	0.6785264589304193
Hindi	5962983572	manual_output_funchead_two_coarse_lambda09_best_large	0.859330755412	0.5463066098279372
Lithuanian	8806116285	manual_output_funchead_two_coarse_lambda09_best_large	0.627406568516	2.1988349322689484
Czech	6306938640	manual_output_funchead_two_coarse_lambda09_best_large	0.847471097824	0.6647417161196624
Norwegian	6853357504	manual_output_funchead_two_coarse_lambda09_best_large	0.879574650981	0.6415591510407845
Hebrew	1334963092	manual_output_funchead_two_coarse_lambda09_best_large	0.835597421914	0.8672886997978464
Spanish	3323510410	manual_output_funchead_two_coarse_lambda09_best_large	0.875435892252	0.6112340554386861
Japanese	2858962760	manual_output_funchead_two_coarse_lambda09_best_large	0.858241230178	0.6909004978466813
Chinese	1525295101	manual_output_funchead_two_coarse_lambda09_best_large	0.737281910009	1.2818949442373928
Ukrainian	7364747851	manual_output_funchead_two_coarse_lambda09_best_large	0.798067748092	1.028390804248798
Arabic	5869004632	manual_output_funchead_two_coarse_lambda09_best_large	0.667005532429	1.3015199676534757
Finnish	3529350779	manual_output_funchead_two_coarse_lambda09_best_large	0.804635081473	0.9236582735417951
Japanese	9193927684	manual_output_funchead_two_coarse_lambda09_best_large	0.866410379625	0.651917870075642
Urdu	3992706298	manual_output_funchead_two_coarse_lambda09_best_large	0.817238397233	0.8030017039623959
Slovenian	8095886855	manual_output_funchead_two_coarse_lambda09_best_large	0.800331019263	0.9389168848405405
Lithuanian	9875130895	manual_output_funchead_two_coarse_lambda09_best_large	0.430351075878	2.5988677987155935
Romanian	6677228325	manual_output_funchead_two_coarse_lambda09_best_large	0.799851941584	0.9570119353433069
Telugu	6731391711	manual_output_funchead_two_coarse_lambda09_best_large	0.85549132948	0.9354372254226478
Arabic	2481192020	manual_output_funchead_two_coarse_lambda09_best_large	0.800789735578	0.9375011690506222
Slovenian	3648087420	manual_output_funchead_two_coarse_lambda09_best_large	0.805020458829	0.9597511140594625
French	7260291825	manual_output_funchead_two_coarse_lambda09_best_large	0.873676500822	0.5642990877654244
Korean	8121711353	manual_output_funchead_two_coarse_lambda09_best_large	0.662917581078	1.6928786500231052
Hindi	1376619858	manual_output_funchead_two_coarse_lambda09_best_large	0.849587431112	0.6304380461576776
Latin	1542884737	manual_output_funchead_two_coarse_lambda09_best_large	0.821848514288	1.1859159631260452
Croatian	6959776174	manual_output_funchead_two_coarse_lambda09_best_large	0.749632381395	1.0363941806248953
Latvian	4473885534	manual_output_funchead_two_coarse_lambda09_best_large	0.724377372466	1.4157067841649573
Serbian	2052256465	manual_output_funchead_two_coarse_lambda09_best_large	0.823682719547	0.8840684444438297
Dutch	7974561834	manual_output_funchead_two_coarse_lambda09_best_large	0.862656903766	0.6757602613356947
Latvian	7669348116	manual_output_funchead_two_coarse_lambda09_best_large	0.712063697806	1.4535789151134761
Norwegian	9756188190	manual_output_funchead_two_coarse_lambda09_best_large	0.880895907289	0.6488059470863662
Finnish	3542538061	manual_output_funchead_two_coarse_lambda09_best_large	0.792961796522	0.9415772332731182
Estonian	4737512014	manual_output_funchead_two_coarse_lambda09_best_large	0.768859800207	1.0753200072031617
Swedish	1715330247	manual_output_funchead_two_coarse_lambda09_best_large	0.790315057457	0.9631600599199368
Slovenian	5577568913	manual_output_funchead_two_coarse_lambda09_best_large	0.799733345593	0.9674047267394232
